run_name,preset,run_id,timestamp,wavlm_variant,use_pantagruel,use_residual,fusion_dim,aug_types_enabled,finetune_scope,k_folds,max_len_s,batch_size,accum_steps,effective_batch,epochs_max,lr,weight_decay,dropout,hidden_dim,input_dropout,focal_gamma,n_total,n_healthy_target,oof_balanced_accuracy,oof_macro_f1,oof_macro_auc_ovr,mean_balanced_accuracy,std_balanced_accuracy,mean_macro_f1,std_macro_f1,mean_macro_auc_ovr,std_macro_auc_ovr,notes
wavlm_bp_residual_kfold_aug,wavlm_bp_residual,15,2026-08-06T16:18:43,base_plus,False,True,800.0,vc,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.2,256.0,0.1,2.0,265.0,100.0,0.6106818987464149,0.5741464988371218,0.8262001079742987,0.6089583333333332,0.0392745272971117,0.5728286088915873,0.0377530150866025,0.8234971405391065,0.0363715236554342,
pantagruel_solo_kfold_aug,pantagruel_solo,16,2026-08-06T16:37:24,,True,False,1024.0,signal,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.2,256.0,0.1,2.0,265.0,100.0,0.6006021397956882,0.5968707094232746,0.8209086579211777,0.602275641025641,0.0520247636657359,0.5873604639539834,0.0229328664737561,0.8382046186127727,0.0190350992732756,
wavlm_bp_residual_kfold_aug,wavlm_bp_residual,17,2026-08-06T16:55:11,base_plus,False,True,800.0,signal,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.2,256.0,0.1,2.0,265.0,100.0,0.5617908704199027,0.5575174825174826,0.7965761534799881,0.5609455128205127,0.0610740837914346,0.5516790857327022,0.0541566588060709,0.7963363191350518,0.0438092735294384,
wavlm_bp_residual_kfold_aug,wavlm_bp_residual,18,2026-08-06T17:12:27,base_plus,False,True,800.0,signal,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.527417421288389,0.5253087024081172,0.7577257481844596,0.5241826923076923,0.063354367549317,0.5281294390647168,0.0453091136443919,0.7577215791555132,0.04061125574553,
pantagruel_wavlm_bp_residual_kfold_aug,pantagruel_wavlm_bp_residual,19,2026-08-24T12:13:11,base_plus,True,True,1824.0,signal,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.6203788147336534,0.6130888869362188,0.803729369020138,0.6167147435897435,0.0478496095185898,0.606239615061879,0.0406276428699556,0.8193973942474134,0.0342169141576555,
pantagruel_wavlm_bp_kfold_aug,pantagruel_wavlm_bp,20,2026-08-24T12:34:38,base_plus,True,False,1792.0,signal,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.6393723212271598,0.6339761894302157,0.8397403191285084,0.6404967948717948,0.0597908806276463,0.6319895987063565,0.0440144304378452,0.8465093351530205,0.0271131100236096,
pantagruel_solo_kfold_aug,pantagruel_solo,21,2026-08-24T14:12:24,,True,False,1024.0,signal,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.590900631626438,0.5841127493449503,0.8023271896039681,0.5926923076923077,0.0478085256531015,0.5811688700727294,0.0392955826236689,0.8075106279181676,0.0364026545936578,
wavlm_bp_solo_kfold_aug,wavlm_bp_solo,22,2026-08-24T14:27:18,base_plus,False,False,768.0,signal,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.5080431665109084,0.513825246701959,0.7352429633109351,0.5060416666666667,0.0549867394248282,0.5141316629010573,0.0484012624323474,0.7510783840505866,0.0367763048768827,
residual_solo_kfold_aug,residual_solo,23,2026-08-24T15:42:25,,False,True,32.0,signal,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.4129617157036511,0.4181951133704382,0.6520378210728728,0.4140224358974359,0.0795580678008365,0.4111738848479427,0.081161730125351,0.6781040891687213,0.0621295027783287,
pantagruel_residual_kfold_aug,pantagruel_residual,24,2026-08-24T15:57:43,,True,True,1056.0,signal,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.5839101221359286,0.5800077186011632,0.816919538742483,0.584551282051282,0.033574932280224,0.570032104709353,0.0227618799400069,0.824528069933766,0.0348131850855518,
